,ESGV,XLC,PICK,TSLA,COPX,ICLN,MRNA,QQQ,TAN,TTWO,PFE,PBW,OGIG,,,,,,,,,,,,,
,0.011118955,0.023186793,-0.00507958,0.079345372,-0.002980626,0.00673968,0.013234516,0.019843123,0.021745982,0.037230996,0.014370933,0.025604143,0.040298507,,,,,,,,,,,,,
,0.021818817,0.0275562,0.029611981,0.067656593,0.014449427,0.045188285,0.077324974,0.022661722,0.038556447,0.025639003,0.025928896,0.066479663,0.024390244,,,,,,,,,,,,,
,-0.008882815,-0.017466478,-0.049917355,0.106366308,-0.076620825,-0.004803843,0.024248303,-0.00304414,-0.008613009,-0.036381817,-0.017196456,-0.017096265,-0.016806723,,,,,,,,,,,,,
,-0.021199586,-0.03196265,-0.06263048,0.151823654,-0.069680851,-0.024939662,-0.028882576,-0.016299955,-0.036848412,-0.005108557,-0.064687169,-0.0377308,-0.007834758,,,,,,,,,,,,,
,0.033984856,0.036171397,0.021529324,0.149873184,0.018867925,0.052805281,0.133105802,0.046240928,0.082115086,-0.096598203,0.021825397,0.065906563,0.044149318,,,,,,,,,,,,,
,0.019584469,0.019334049,0.010901163,0.06951407,0.043209877,0.045454545,-0.182444062,0.023734729,0.078183386,0.007371226,-0.040499307,0.073571615,0.031969749,,,,,,,,,,,,,
,-0.012360114,-0.014401124,-0.023005032,0.126179614,-0.038192577,0.057721139,-0.040526316,-0.018624275,0.086910157,0.022921626,-0.021682567,0.056379101,-0.019986676,,,,,,,,,,,,,
,-0.1128023,-0.095509622,-0.135393672,-0.258601554,-0.127516779,-0.109851169,0.422380691,-0.106266557,-0.105469708,-0.073687839,-0.064420804,-0.134575569,-0.079197825,,,,,,,,,,,,,
,0.003621807,-0.018518519,-0.015744681,0.053143713,-0.032051282,0.01433121,0.141920555,0.010787172,0.011242117,0.094994418,0.048010107,-0.002126528,-0.018087855,,,,,,,,,,,,,
,-0.092497626,-0.072862304,-0.154777345,-0.223027719,-0.156953642,-0.218210361,-0.28064843,-0.075377368,-0.263286334,-0.009091682,-0.066003617,-0.240010655,-0.110902256,,,,,,,,,,,,,
,-0.146714106,-0.129248755,-0.15601023,-0.217800951,-0.178318932,-0.12751004,0.323943662,-0.112509099,-0.162679426,-0.14122792,-0.113262343,-0.158079215,-0.065961945,,,,,,,,,,,,,
,0.103752759,0.06315266,0.132727273,0.203017191,0.101338432,0.092059839,0.065602837,0.08553017,0.097582418,0.11532701,0.065138282,0.112822648,0.103666818,,,,,,,,,,,,,
,-0.027555556,-0.014265669,-0.003210273,-0.066783319,-0.012152778,-0.030558483,0.159400998,-0.010415542,-0.046055266,0.060787825,0.088828152,-0.078937523,-0.038146021,,,,,,,,,,,,,
,0.126599634,0.104863582,0.119162641,0.19375,0.177504394,0.142391304,-0.085533869,0.095380924,0.174223342,0.007679973,0.052086602,0.187246141,0.104477612,,,,,,,,,,,,,
,0.032251521,0.039510414,-0.002398082,0.315706806,0.010447761,0.000951475,0.47049592,0.071841083,0.033249911,0.042211055,0.042946615,0.014368799,0.088030888,,,,,,,,,,,,,
,-0.010807624,0.005164222,-0.020673077,-0.038135031,0.023633678,-0.031368821,0.077908218,-0.006735101,-0.0183391,0.027643844,0.012582213,-0.003372681,0.023066004,,,,,,,,,,,,,
,0.002979738,0.0189067,0.001472754,-0.032889747,0.004329004,0.019627085,-0.050891089,-0.005144033,0.015156856,-0.040897717,0.007060152,0.018950931,-0.01144641,,,,,,,,,,,,,
,0.043374926,0.045986285,0.053431373,0.16840154,0.048132184,0.071222329,0.236177759,0.05697095,0.118402778,0.058703628,-0.01121705,0.100963135,0.112631579,,,,,,,,,,,,,
,-0.020501139,-0.011762437,-0.03257329,-0.024713205,-0.037697053,-0.030548068,0.12556962,-0.007071066,-0.040981062,0.020716211,0.014463982,-0.071493213,0.013875749,,,,,,,,,,,,,
,0.035077519,0.048,0.077922078,0.022211099,0.056267806,0.050046339,0.034637877,0.028620056,0.058595015,0.06013279,-0.006709533,0.070500325,0.037013997,,,,,,,,,,,,,
,0.028833552,0.005771737,0.050870147,0.022156935,0.048550236,0.052074139,-0.108695652,0.016110772,0.032415902,-0.030887481,0.018294399,0.057359636,0.020395921,,,,,,,,,,,,,
,0.044404004,0.027582377,0.10403397,0.060658683,0.114469453,0.056208054,-0.053821138,0.027125471,0.053317536,-0.053315708,-0.057766722,0.120264064,0.013815403,,,,,,,,,,,,,
,-0.043910089,-0.025040533,-0.041923077,0.056060521,-0.049047894,-0.04050834,0.065475168,-0.015895532,-0.042182227,0.039484912,-0.062188325,-0.043812452,0.003479269,,,,,,,,,,,,,
,0.023874613,0.02623799,-0.034524287,0.070137924,0.006674757,0.017384106,0.07016129,0.03544175,0.032295948,0.064253731,-0.009696591,0.03778135,0.073967062,,,,,,,,,,,,,
,-0.027767889,-0.055275477,0,-0.041112998,0.027727547,-0.02278275,-0.076412962,-0.01645922,-0.007679181,-0.010027347,-0.041377132,-0.029950942,0.005380683,,,,,,,,,,,,,
,0.043756866,0.052029731,0.028274428,0.259338369,0.046920821,0.070774355,-0.044223238,0.049829323,0.070220694,0.022807763,0.077100494,0.122438116,0.050575328,,,,,,,,,,,,,
,0.02175057,0.045289855,0.034775576,0.277996111,0.083473389,0.054432348,0.068977292,0.046710813,0.107927156,0.065858726,-0.019577853,0.082997392,0.062913907,,,,,,,,,,,,,
,0.009270386,-0.005025997,0.037905432,-0.028355938,0.018097208,0.047935103,0.514933717,-0.017236807,0.060913706,-0.021636021,0.071450858,0.042259689,-0.059429667,,,,,,,,,,,,,
,-0.003742133,-0.009754398,0.000376506,-0.055868341,0.017267649,0.015482055,-0.22814971,-0.014879346,0.023695603,0.036126976,0.039021549,0.002310924,-0.004840764,,,,,,,,,,,,,
,0.022537135,0.022515391,-0.006774558,0.009703599,-0.009985022,-0.002079002,0.012156809,0.040029739,0.001780548,0.051275478,0.021580717,-0.02473276,0.052483359,,,,,,,,,,,,,
